SPEAKER	SENTENCE	DOMAINID	DOMAIN	CATEGORY	SPEAKERID	SENTENCEID	MAIN	SUB	QA	QACNCT	MQ	SQ	UA	SA	개체명	용어사전	지식베이스
점원	네 가능합니다	 F	카페	카페	0	2	주문가능여부문의		A					네 가능합니다	가능		
고객	얼음량 조절 적게 되나요?	 F	카페	카페	1	3	얼음량요구		Q		얼음량 조절 적게 되나요?				"얼음량, 적게"		적게/양
점원	네 가능합니다	 F	카페	카페	0	4	얼음량요구		A					네 가능합니다	가능		
고객	베이글은 얼마인가요?	 F	카페	카페	1	5	가격문의		Q		베이글은 얼마인가요?				베이글		베이글/메뉴
점원	베이글은 2000원입니다	 F	카페	카페	0	6	가격문의		A					베이글은 2000원입니다	"베이글, 2000원"		"베이글/메뉴, 2000원/금액"
고객	머핀은 얼마에요?	 F	카페	카페	1	7	가격문의		Q		머핀은 얼마에요?				머핀		머핀/메뉴
점원	베이글과 동일하게 2000원입니다	 F	카페	카페	0	8	가격문의		A					베이글과 동일하게 2000원입니다	"베이글, 동일, 2000원"		"베이글/메뉴, 2000원/금액"
고객	베이글과 머핀 전부 주세요	 F	카페	카페	1	9	일반주문		Q		베이글과 머핀 전부 주세요				"베이글, 머핀"		"베이글/메뉴, 머핀/메뉴"
점원	준비해드리겠습니다	 F	카페	카페	0	10	일반주문		A					준비해드리겠습니다			
고객	지금 빙수 되나요?	 F	카페	카페	1	1	주문가능여부문의		Q		지금 빙수 되나요?				"지금, 빙수"		"지금/시간, 빙수/메뉴"
점원	빙수는 계절메뉴라 지금은 판매하지 않습니다	 F	카페	카페	0	2	주문가능여부문의		A					빙수는 계절메뉴라 지금은 판매하지 않습니다	"빙수, 계절메뉴, 지금, 판매"		"빙수/메뉴, 계절메뉴/메뉴, 지금/시간"
고객	그럼 아메리카노랑 바닐라 라테 주세요	 F	카페	카페	1	3	일반주문		Q		그럼 아메리카노랑 바닐라 라테 주세요				"아메리카노, 바닐라 라테"		"아메리카노/메뉴, 바닐라 라테/메뉴"
점원	둘 다 아이스인가요?	 F	카페	카페	0	4	일반주문	음료온도	Q			둘 다 아이스인가요?			"둘, 아이스"		"둘/수량, 아이스/온도"
고객	바닐라 라테는 따뜻하게 주세요	 F	카페	카페	1	5	일반주문	음료온도	A				바닐라 라테는 따뜻하게 주세요		"바닐라 라테, 따뜻하게"		"바닐라 라테/메뉴, 따뜻하게/온도"
점원	네 적립이나 할인되는 카드 있으세요?	 F	카페	카페	0	6	결제요청	포인트적립할인	Q			네 적립이나 할인되는 카드 있으세요?			"적립, 할인, 카드"		카드/결제수단
고객	네 여기 있습니다	 F	카페	카페	1	7	결제요청	포인트적립할인	A				네 여기 있습니다				
점원	손님 지금 15000포인트 있으신데 사용해 드릴까요?	 F	카페	카페	0	8	결제요청	포인트적립할인	Q			손님 지금 15000포인트 있으신데 사용해 드릴까요?			"지금, 15000포인트, 사용"		"지금/시간, 15000포인트/금액"
고객	아니요 그냥 적립만 해주세요	 F	카페	카페	1	9	결제요청	포인트적립할인	A				아니요 그냥 적립만 해주세요		적립		
점원	네 적립되셨습니다	 F	카페	카페	0	10	일반주문		A					네 적립되셨습니다	적립		
고객	기프트카드 포인트 결제되나요?	 F	카페	카페	1	1	기프티콘쿠폰멤버십사용문의		Q		기프트카드 포인트 결제되나요?				"기프트카드, 포인트, 결제"		기프트카드/결제수단
점원	네 됩니다	 F	카페	카페	0	2	기프티콘쿠폰멤버십사용문의		A					네 됩니다			
고객	혹시 기존 카드로 통합 시킬 수도 있나요?	 F	카페	카페	1	3	기프티콘쿠폰멤버십사용문의		Q		혹시 기존 카드로 통합 시킬 수도 있나요?				"카드, 통합"		카드/기프트카드
점원	네 합쳐 드릴까요?	 F	카페	카페	0	4	결제요청	포인트적립할인	Q			네 합쳐 드릴까요?					
고객	네 합쳐주시고 아이스 아메리카노 한잔 주세요	 F	카페	카페	1	5	일반주문		Q		네 합쳐주시고 아이스 아메리카노 한잔 주세요				"아이스, 아메리카노, 한잔"		"아이스/온도, 아메리카노/메뉴, 한잔/수량"
점원	드시고 가실 건가요?	 F	카페	카페	0	6	테이크아웃요구	테이크아웃여부	Q			드시고 가실 건가요?					
고객	먹고 갈 건데 혹시 일회용 컵에 담아주실 수 있을까요?	 F	카페	카페	1	7	테이크아웃요구		Q		먹고 갈 건데 혹시 일회용 컵에 담아주실 수 있을까요?				일회용 컵		
점원	매장에서 드실 거면 머그컵에 드리도록 되어있습니다	 F	카페	카페	0	8	테이크아웃요구		A					매장에서 드실 거면 머그컵에 드리도록 되어있습니다	"매장, 머그컵"		"매장/장소, 머그컵/컵"
고객	마시다 나갈 거니 일회용 컵에 담아주실 수는 없을까요?	 F	카페	카페	1	9	테이크아웃요구		Q		마시다 나갈 거니 일회용 컵에 담아주실 수는 없을까요?				일회용 컵		
점원	네 일회용 컵에 담아 드리겠습니다	 F	카페	카페	0	10	테이크아웃요구		A					네 일회용 컵에 담아 드리겠습니다	일회용 컵		
고객	아메리카노 하나 주세요	 F	카페	카페	1	1	일반주문		Q		아메리카노 하나 주세요				"아메리카노,하나"		"아메리카노/메뉴, 하나/수량"
점원	따뜻한 걸로 드릴까요?	 F	카페	카페	0	2	일반주문	음료온도	Q			따뜻한 걸로 드릴까요?			따뜻한		따뜻한/온도
고객	아니요 아이스로 주세요	 F	카페	카페	1	3	일반주문	음료온도	A				아니요 아이스로 주세요		아이스		아이스/온도
점원	레귤러 사이즈로 괜찮으세요?	 F	카페	카페	0	4	일반주문	사이즈	Q			레귤러 사이즈로 괜찮으세요?			레귤러 사이즈		레귤러 사이즈/크기
고객	네 괜찮습니다	 F	카페	카페	1	5	일반주문	사이즈	A				네 괜찮습니다				
점원	매장에서 드시고 가시나요?	 F	카페	카페	0	6	테이크아웃요구	테이크아웃여부	Q			매장에서 드시고 가시나요?			매장		매장/장소
고객	테이크 아웃으로 부탁드립니다	 F	카페	카페	1	7	테이크아웃요구	테이크아웃여부	A				테이크 아웃으로 부탁드립니다		테이크 아웃		테이크아웃/포장
점원	결제는 이쪽에서 도와드릴게요	 F	카페	카페	0	8	결제요청	결제안내	Q			결제는 이쪽에서 도와드릴게요			"결제, 이쪽"		이쪽/방향
고객	네 알겠습니다	 F	카페	카페	1	9	결제요청	결제안내	A				네 알겠습니다				
점원	준비가 되면 불러 드릴게요	 F	카페	카페	0	10	일반주문		A					준비가 되면 불러 드릴게요	준비		
고객	초코 라테 한잔 주세요	 F	카페	카페	1	1	일반주문		Q		초코 라테 한잔 주세요				"초코 라테, 한잔"		"초코 라테/메뉴, 한잔/수량"
점원	휘핑크림 올려드릴까요	 F	카페	카페	0	2	일반주문	토핑	Q			휘핑크림 올려드릴까요			휘핑크림		휘핑크림/토핑
고객	네 많이 올려주세요	 F	카페	카페	1	3	일반주문	토핑	A				네 많이 올려주세요				
점원	알겠습니다	 F	카페	카페	0	4	일반주문		A					알겠습니다			
고객	혹시 테이크 아웃 잔에 받을 수 있나요	 F	카페	카페	1	5	테이크아웃요구		Q		혹시 테이크 아웃 잔에 받을 수 있나요				테이크아웃 잔		테이크아웃잔/일회용컵
점원	테이크 아웃하시는 건가요	 F	카페	카페	0	6	테이크아웃요구	테이크아웃여부	Q			테이크 아웃하시는 건가요			테이크아웃		테이크아웃/포장
고객	아니요 여기서 먹을 건데요	 F	카페	카페	1	7	테이크아웃요구	테이크아웃여부	A				아니요 여기서 먹을 건데요		여기		여기/장소
점원	그러면 머그잔에 드려야 합니다	 F	카페	카페	0	8	테이크아웃요구	테이크아웃여부	Q			그러면 머그잔에 드려야 합니다			머그잔		머그잔/컵
고객	그럼 그렇게 주세요	 F	카페	카페	1	9	테이크아웃요구	테이크아웃여부	A				그럼 그렇게 주세요				
점원	진동벨 울리면 찾으러 오세요	 F	카페	카페	0	10	일반주문		A					진동벨 울리면 찾으러 오세요	진동벨		
고객	아메리카노 한 잔 주세요	 F	카페	카페	1	1	일반주문		Q		아메리카노 한 잔 주세요				"아메리카노, 한 잔"		"아메리카노/메뉴, 한잔/수량"
점원	따뜻한 것과 아이스 중에 무엇을 드릴까요?	 F	카페	카페	0	2	일반주문	음료온도	Q			따뜻한 것과 아이스 중에 무엇을 드릴까요?			"따뜻한, 아이스, 무엇"		"따뜻한/온도, 아이스/온도"
고객	아이스로 주세요	 F	카페	카페	1	3	일반주문	음료온도	A				아이스로 주세요		아이스		아이스/온도
점원	네 시럽 넣어드릴까요?	 F	카페	카페	0	4	일반주문	시럽여부	Q			네 시럽 넣어드릴까요?			시럽		시럽/토핑
고객	아니요 시럽은 빼주세요	 F	카페	카페	1	5	일반주문	시럽여부	A				아니요 시럽은 빼주세요		시럽		시럽/토핑
점원	네 드시고 가실 건가요?	 F	카페	카페	0	6	테이크아웃요구	테이크아웃여부	Q			네 드시고 가실 건가요?					
고객	아니요 테이크 아웃이요	 F	카페	카페	1	7	테이크아웃요구	테이크아웃여부	A				아니요 테이크 아웃이요		테이크 아웃		테이크아웃/포장
점원	네 1500원 결제 도와드리겠습니다	 F	카페	카페	0	8	결제요청		A	1				네 1500원 결제 도와드리겠습니다	"1500원, 결제"		1500원/금액
고객	여기 카드로 결제해주세요	 F	카페	카페	1	9	결제요청		Q		여기 카드로 결제해주세요				"카드, 결제"		카드/결제수단
점원	네 알겠습니다	 F	카페	카페	0	10	결제요청		A					네 알겠습니다			
고객	아메리카노 두 잔이랑 치즈케이크 한 개 주세요	 F	카페	카페	1	1	일반주문		Q		아메리카노 두 잔이랑 치즈케이크 한 개 주세요				"아메리카노, 두 잔, 치즈케이크, 한 개"		"아메리카노/메뉴, 두 잔/수량, 치즈케이크/메뉴, 한 개/수량"
점원	아메리카노 두 잔 치즈케이크 한 개 주문 도와드리면 될까요?	 F	카페	카페	0	2	일반주문	주문확인	Q			아메리카노 두 잔 치즈케이크 한 개 주문 도와드리면 될까요?			"아메리카노, 두 잔, 치즈케이크, 한 개, 주문"		"아메리카노/메뉴, 두 잔/수량, 치즈케이크/메뉴, 한 개/수량"
고객	아메리카노 하나는 샷 추가해주세요	 F	카페	카페	1	3	에스프레소샷개수요구		Q		아메리카노 하나는 샷 추가해주세요				"아메리카노, 하나, 샷, 추가"		"아메리카노/메뉴, 하나/수량, 샷/메뉴"
점원	아메리카노는 둘 다 따뜻한 걸로 드릴까요?	 F	카페	카페	0	4	일반주문	음료온도	Q			아메리카노는 둘 다 따뜻한 걸로 드릴까요?			"아메리카노, 둘, 따뜻한"		"아메리카노/메뉴, 둘/수량, 따뜻한/온도"
고객	네 따뜻하게 해주세요	 F	카페	카페	1	5	일반주문	음료온도	A				네 따뜻하게 해주세요		따뜻		따뜻/온도
점원	다해서 10900원입니다	 F	카페	카페	0	6	가격문의		A	3				다해서 10900원입니다	10900원		10900원/금액
고객	쿠폰 찍어주세요	 F	카페	카페	1	7	쿠폰멤버십적립문의		Q		쿠폰 찍어주세요				쿠폰		쿠폰/적립수단
점원	네 찍어드릴게요	 F	카페	카페	0	8	쿠폰멤버십적립문의		A					네 찍어드릴게요			
고객	현금영수증도 해주시죠?	 F	카페	카페	1	9	현금영수증요청		Q		현금영수증도 해주시죠?				현금영수증		
점원	네 영수증 드릴게요	 F	카페	카페	0	10	현금영수증요청		A					네 영수증 드릴게요	영수증		
고객	주문할게요	 F	카페	카페	1	1	일반주문		Q		주문할게요				주문		
점원	어떤 거 드릴까요	 F	카페	카페	0	2	메뉴문의	메뉴종류	Q			어떤 거 드릴까요					
고객	아메리카노 따뜻한 거 라지 사이즈로 주세요	 F	카페	카페	1	3	메뉴문의	메뉴종류	A				아메리카노 따뜻한 거 라지 사이즈로 주세요		"아메리카노, 따뜻한, 라지 사이즈"		"아메리카노/메뉴, 따뜻한/온도, 라지사이즈/크기"
점원	다른 건 필요 없으신가요?	 F	카페	카페	0	4	공통	공통	Q			다른 건 필요 없으신가요?					
고객	티라미수 케이크도 주세요	 F	카페	카페	1	5	일반주문		Q		티라미수 케이크도 주세요				티라미수 케이크		티라미수 케이크/메뉴
점원	적립카드 있으신가요?	 F	카페	카페	0	6	결제문의	포인트적립할인	Q			적립카드 있으신가요?			적립카드		적립카드/적립수단
고객	번호로 할게요	 F	카페	카페	1	7	결제문의	포인트적립할인	A				번호로 할게요		번호		
점원	주차는 하셨나요	 F	카페	카페	0	8	주차문의	주차여부문의	Q			주차는 하셨나요			주차		
고객	주차 안 했어요	 F	카페	카페	1	9	주차문의	주차여부문의	A				주차 안 했어요		주차		
점원	진동벨로 알려드리겠습니다	 F	카페	카페	0	10	일반주문		A	"3,5"				진동벨로 알려드리겠습니다	진동벨		
고객	팥빙수 파나요?	 F	카페	카페	1	1	주문가능여부문의		Q		팥빙수 파나요?				팥빙수		팥빙수/메뉴
점원	팥빙수는 계절음식이라 지금은 안되세요	 F	카페	카페	0	2	주문가능여부문의		A					팥빙수는 계절음식이라 지금은 안되세요	"팥빙수, 계절음식, 지금"		"팥빙수/메뉴, 계절음식/메뉴, 지금/시간"
고객	자몽차는 있나요?	 F	카페	카페	1	3	주문가능여부문의		Q		자몽차는 있나요?				자몽차		자몽차/메뉴
점원	네 자몽차는 있습니다	 F	카페	카페	0	4	주문가능여부문의		A					네 자몽차는 있습니다	자몽차		자몽차/메뉴
고객	그럼 자몽차 한잔 주세요	 F	카페	카페	1	5	일반주문		Q		그럼 자몽차 한잔 주세요				"자몽차, 한잔"		"자몽차/메뉴, 한잔/수량"
점원	따뜻하게 드릴까요?	 F	카페	카페	0	6	일반주문	음료온도	Q			따뜻하게 드릴까요?			따뜻		따뜻/온도
고객	네	 F	카페	카페	1	7	일반주문	음료온도	A				네				
점원	영수증 드릴까요?	 F	카페	카페	0	8	결제요청	영수증	Q			영수증 드릴까요?			영수증		
고객	아니요 버려주세요	 F	카페	카페	1	9	결제요청	영수증	A				아니요 버려주세요				
점원	와이파이 비밀번호는 테이블에 적혀있습니다	 F	카페	카페	0	10	일반주문		A					와이파이 비밀번호는 테이블에 적혀있습니다	"와이파이, 비밀번호, 테이블"		
고객	저번에 와서 먹은 미숫가루 라테가 오늘은 없네요?	 F	카페	카페	1	1	주문가능여부문의		Q		저번에 와서 먹은 미숫가루 라테가 오늘은 없네요?				"미숫가루 라테, 오늘"		"미숫가루 라테/메뉴, 오늘/날짜"
점원	네 그건 시즌 한정 메뉴라 겨울에는 판매하지 않습니다	 F	카페	카페	0	2	주문가능여부문의		A					네 그건 시즌 한정 메뉴라 겨울에는 판매하지 않습니다	"시즌 한정 메뉴, 겨울"		"시즌 한정 메뉴/메뉴, 겨울/계절"
고객	그럼 겨울 메뉴로는 뭐가 맛있나요?	 F	카페	카페	1	3	메뉴추천요구		Q		그럼 겨울 메뉴로는 뭐가 맛있나요?				겨울 메뉴		겨울 메뉴/메뉴
점원	겨울엔 감귤 라테가 제일 많이 나가요	 F	카페	카페	0	4	메뉴추천요구		A					겨울엔 감귤 라테가 제일 많이 나가요	"겨울, 감귤라테"		"겨울/계절, 감귤라테/메뉴"
고객	사이드 메뉴 중엔 맛있는 게 뭔가요?	 F	카페	카페	1	5	메뉴추천요구		Q		사이드 메뉴 중엔 맛있는 게 뭔가요?				사이드 메뉴		사이드 메뉴/메뉴
점원	인절미 쏙쏙 붕어빵이 인기에요	 F	카페	카페	0	6	메뉴추천요구		A					인절미 쏙쏙 붕어빵이 인기에요	"인절미 쏙쏙 붕어빵, 인기"		인절미 쏙쏙 붕어빵/메뉴
고객	그럼 감귤 라테 2잔이랑 인절미 쏙쏙 붕어빵 2개 주세요	 F	카페	카페	1	7	일반주문		Q		그럼 감귤 라테 2잔이랑 인절미 쏙쏙 붕어빵 2개 주세요				"감귤 라테, 2잔, 인절미 쏙쏙 붕어빵, 2개"		"감귤 라테/메뉴, 2잔/수량, 쏙쏙 붕어빵/메뉴, 2개/수량"
점원	드시고 가시나요?	 F	카페	카페	0	8	테이크아웃요구	테이크아웃여부	Q			드시고 가시나요?					
고객	네 결제는 카드로 할게요	 F	카페	카페	1	9	결제요청		Q		네 결제는 카드로 할게요				"결제,카드"		카드/결제수단
점원	네 결제 완료되었습니다	 F	카페	카페	0	10	결제요청		A					네 결제 완료되었습니다	결제		
고객	아메리카노 한잔 주세요	 F	카페	카페	1	1	일반주문		Q		아메리카노 한잔 주세요				"아메리카노, 한잔"		"아메리카노/메뉴, 한잔/수량"
점원	따뜻한 걸로 드릴까요?	 F	카페	카페	0	2	일반주문	음료온도	Q			따뜻한 걸로 드릴까요?			따뜻한		따뜻한/온도
고객	아이스 아메리카노로 주세요	 F	카페	카페	1	3	일반주문	음료온도	A				아이스 아메리카노로 주세요		"아이스, 아메리카노"		"아이스/온도, 아메리카노/메뉴"
점원	아이스 아메리카노 한잔 주문 도와드리겠습니다	 F	카페	카페	0	4	일반주문		A					아이스 아메리카노 한잔 주문 도와드리겠습니다	"아이스, 아메리카노, 한잔, 주문"		"아이스/온도, 아메리카노/메뉴, 한잔/수량"
고객	초코머핀도 하나 추가해주세요	 F	카페	카페	1	5	일반주문		Q		초코머핀도 하나 추가해주세요				"초코머핀, 하나, 추가"		"초코머핀/메뉴, 하나/수량"
점원	초코머핀 어떤 걸로 드릴까요?	 F	카페	카페	0	6	메뉴문의	메뉴종류	Q			초코머핀 어떤 걸로 드릴까요?			초코머핀		초코머핀/메뉴
고객	화이트로 부탁해요	 F	카페	카페	1	7	메뉴문의	메뉴종류	A				화이트로 부탁해요		"화이트, 부탁"		화이트/메뉴
점원	아이스 아메리카노 한잔 화이트초코머핀 1개 주문 도와드리겠습니다	 F	카페	카페	0	8	일반주문		A					아이스 아메리카노 한잔 화이트초코머핀 1개 주문 도와드리겠습니다	"아이스, 아메리카노, 한잔, 화이트초코머핀, 1개, 주문"		"아이스/온도, 아메리카노/메뉴, 한잔/수량, 화이트초코머핀/메뉴, 1개/수량"
고객	얼마예요?	 F	카페	카페	1	9	가격문의		Q		얼마예요?				얼마		
점원	총 7000원입니다	 F	카페	카페	0	10	가격문의		A					총 7000원입니다	7000원		7000원/금액
고객	아메리카노 한 잔이랑 바닐라 라테 한 잔 주세요	 F	카페	카페	1	1	일반주문		Q		아메리카노 한 잔이랑 바닐라 라테 한 잔 주세요				"아메리카노, 한 잔, 바닐라 라테"		"아메리카노/메뉴, 한 잔/수량, 바닐라 라테/메뉴"
점원	둘 다 따뜻한 거 맞으세요?	 F	카페	카페	0	2	일반주문	음료온도	Q			둘 다 따뜻한 거 맞으세요?			"둘, 따뜻한"		"둘/수량, 따뜻한/온도"
고객	아니요 아메리카노는 아이스로 주세요	 F	카페	카페	1	3	일반주문	음료온도	A				아니요 아메리카노는 아이스로 주세요		"아메리카노, 아이스"		"아메리카노/메뉴, 아이스/온도"
점원	네 음료 사이즈는 어떤 걸로 하시겠어요?	 F	카페	카페	0	4	일반주문	사이즈	Q			네 음료 사이즈는 어떤 걸로 하시겠어요?			"음료, 사이즈"		"음료/메뉴, 사이즈/크기"
고객	둘 다 스몰 사이즈로 할게요	 F	카페	카페	1	5	일반주문	사이즈	A				둘 다 스몰 사이즈로 할게요		"둘, 스몰 사이즈"		"둘/수량, 스몰 사이즈/크기"
점원	네 결제는 어떤 것으로 도와드릴까요?	 F	카페	카페	0	6	결제요청	결제수단	Q			네 결제는 어떤 것으로 도와드릴까요?			결제		
고객	기프티콘으로 결제할게요	 F	카페	카페	1	7	결제요청	결제수단	A				기프티 콘으로 결제할게요		"기프티콘, 결제"		기프티콘/결제수단
점원	네 그럼 쿠폰 저에게 보여주세요	 F	카페	카페	0	8	결제요청		A					네 그럼 쿠폰 저에게 보여주세요	쿠폰		쿠폰/결제수단
고객	여기 쿠폰이요	 F	카페	카페	1	9	기프티콘쿠폰멤버십결제요구		Q		여기 쿠폰이요				쿠폰		쿠폰/결제수단
점원	네 고객님 결제 완료되었습니다	 F	카페	카페	0	10	기프티콘쿠폰멤버십결제요구		A					네 고객님 결제 완료되었습니다	"결제, 완료"		
고객	녹차라테 1잔 주세요	 F	카페	카페	1	1	일반주문		Q		녹차라테 1잔 주세요				"녹차라테, 1잔"		"녹차라테/메뉴, 1잔/수량"
점원	따뜻한 걸로 드릴까요?	 F	카페	카페	0	2	일반주문	음료온도	Q			따뜻한 걸로 드릴까요?			따뜻한		따뜻한/온도
고객	네 따뜻한 걸로 주세요	 F	카페	카페	1	3	일반주문	음료온도	A				네 따뜻한 걸로 주세요		따뜻한		따뜻한/온도
점원	드시고 가시나요?	 F	카페	카페	0	4	테이크아웃요구	테이크아웃여부	Q			드시고 가시나요?					
고객	네 여기서 먹고 갈 거예요	 F	카페	카페	1	5	테이크아웃요구	테이크아웃여부	A				네 여기서 먹고 갈 거예요		여기		여기/장소
점원	그럼 머그잔에 드릴게요	 F	카페	카페	0	6	테이크아웃요구		A					그럼 머그잔에 드릴게요	머그잔		머그잔/컵
고객	혹시 휘핑크림 추가되나요?	 F	카페	카페	1	7	옵션추가요구		Q		혹시 휘핑크림 추가되나요?				"휘핑크림, 추가"		휘핑크림/토핑
점원	네 500원 추가하시면 추가돼요	 F	카페	카페	0	8	옵션추가요구		A					네 500원 추가하시면 추가돼요	500원 추가		500원/금액
고객	네 그럼 휘핑크림 추가해서 주세요	 F	카페	카페	1	9	옵션추가요구		Q		네 그럼 휘핑크림 추가해서 주세요				"휘핑크림, 추가"		휘핑크림/토핑
점원	네 녹차라테에 휘핑크림 추가해서 4500원입니다	 F	카페	카페	0	10	가격문의		A					네 녹차라테에 휘핑크림 추가해서 4500원입니다	"녹차라테, 휘핑크림, 추가, 4500원"		"녹차라테/메뉴, 휘핑크림/토핑, 4500원/금액"
고객	브레드 종류는 뭐가 있나요?	 F	카페	카페	1	1	메뉴문의		Q		브레드 종류는 뭐가 있나요?				"브레드, 종류"		브레드/메뉴
점원	허니 브레드와 갈릭 치즈 브레드가 있습니다	 F	카페	카페	0	2	메뉴문의		A					허니 브레드와 갈릭 치즈 브레드가 있습니다	"허니 브레드, 갈릭 치즈 브레드"		"허니 브레드/메뉴, 갈릭 치즈 브레드/메뉴"
고객	생크림이 올라가는 건 어떤 건가요?	 F	카페	카페	1	3	메뉴문의		Q		생크림이 올라가는 건 어떤 건가요?				생크림		생크림/토핑
점원	허니 브레드입니다	 F	카페	카페	0	4	메뉴문의		A					허니 브레드입니다	허니 브레드		허니 브레드/메뉴
고객	갈릭 치즈 브레드에 생크림을 올려주실 수는 없나요?	 F	카페	카페	1	5	옵션추가요구		Q		갈릭 치즈 브레드에 생크림을 올려주실 수는 없나요?				"갈릭 치즈 브레드, 생크림"		"갈릭 치즈 브레드/메뉴, 생크림/토핑"
점원	500원의 추가 비용이 발생되는데 괜찮으세요?	 F	카페	카페	0	6	옵션추가요구	추가금액안내	Q			500원의 추가 비용이 발생되는데 괜찮으세요?			"500원, 추가, 비용, 발생"		"500원/금액, 비용/금액"
고객	네 그렇게 만들어 주세요	 F	카페	카페	1	7	옵션추가요구	추가금액안내	A				네 그렇게 만들어 주세요				
점원	더 필요한 건 없으세요?	 F	카페	카페	0	8	공통	공통	Q			더 필요한 건 없으세요?					
고객	아이스 바닐라 라테도 한 잔 주세요	 F	카페	카페	1	9	일반주문		Q		아이스 바닐라 라테도 한 잔 주세요				"아이스, 바닐라 라테, 한 잔"		"아이스/온도,  바닐라 라테/메뉴, 한 잔/수량"
점원	네 진동벨이 울리면 픽업대로 와주세요	 F	카페	카페	0	10	일반주문		A					네 진동벨이 울리면 픽업대로 와주세요	"진동벨, 픽업대"		픽업대/장소
고객	라테 한 잔에 얼마인가요?	 F	카페	카페	1	1	가격문의		Q		라테 한 잔에 얼마인가요?				"라테, 한 잔, 얼마"		"라테/메뉴, 한 잔/수량"
점원	5000원입니다	 F	카페	카페	0	2	가격문의		A					5000원입니다	5000원		5000원/금액
고객	마카롱은 남아있나요?	 F	카페	카페	1	3	주문가능여부문의		Q		마카롱은 남아있나요?				마카롱		마카롱/메뉴
점원	오늘은 다 팔렸어요	 F	카페	카페	0	4	주문가능여부문의		A					오늘은 다 팔렸어요	오늘		오늘/날짜
고객	그러면 스콘 하나랑 라테 한 잔 주세요	 F	카페	카페	1	5	일반주문		Q		그러면 스콘 하나랑 라테 한 잔 주세요				"스콘, 하나, 라테, 한 잔"		"스콘/메뉴, 하나/수량, 라테/메뉴, 한 잔/수량"
점원	네 적립 쿠폰 주시면 적립해드릴게요	 F	카페	카페	0	6	결제요청		A					네 적립 쿠폰 주시면 적립해드릴게요	"적립, 쿠폰"		쿠폰/적립수단
고객	혹시 적립 쿠폰으로 커피 계산할 수 있나요?	 F	카페	카페	1	7	기프티콘쿠폰멤버십사용문의		Q		혹시 적립 쿠폰으로 커피 계산할 수 있나요?				"적립, 쿠폰, 커피, 계산"		커피/메뉴
점원	네 됩니다	 F	카페	카페	0	8	기프티콘쿠폰멤버십사용문의		A					네 됩니다			
고객	그러면 커피는 쿠폰으로 스콘은 카드로 계산해주세요	 F	카페	카페	1	9	기프티콘쿠폰멤버십결제요구		Q		그러면 커피는 쿠폰으로 스콘은 카드로 계산해주세요				"커피, 쿠폰, 스콘, 카드, 계산"		"커피/메뉴, 쿠폰/적립수단, 스콘/메뉴, 카드/결제수단"
점원	알겠습니다	 F	카페	카페	0	10	기프티콘쿠폰멤버십결제요구		A					알겠습니다			
고객	아이스 아메리카노에 얼음 조금 덜 넣어주실 수 있나요?	 F	카페	카페	1	1	얼음량요구		Q		아이스 아메리카노에 얼음 조금 덜 넣어주실 수 있나요?				"아이스, 아메리카노, 얼음, 조금"		"아이스 아메리카노/메뉴, 조금/양"
점원	네 또 더 필요한 거 있으세요?	 F	카페	카페	0	2	공통	공통	Q			네 또 더 필요한 거 있으세요?					
고객	네 블루베리 스무디 1개 더 추가로 주세요	 F	카페	카페	1	3	일반주문		Q		네 블루베이 스무디 1개 더 추가로 주세요				"블루베리 스무디, 1개, 추가"		"블루베리 스무디/메뉴, 1개/수량"
점원	드시고 가시나요?	 F	카페	카페	0	4	테이크아웃요구	테이크아웃여부	Q			드시고 가시나요?					
고객	아니요 테이크아웃이요	 F	카페	카페	1	5	테이크아웃요구	테이크아웃여부	A				아니요 테이크아웃이요		테이크아웃		테이크아웃/포장
점원	네 포인트 적립하시나요	 F	카페	카페	0	6	결제요청	포인트적립할인	Q			네 포인트 적립하시나요			포인트 적립		
고객	아니요 기프티콘으로 결제할게요	 F	카페	카페	1	7	결제요청	포인트적립할인	A				아니요 기프티콘으로 결제할게요		"기프티콘, 결제"		기프티콘/결제수단
점원	저한테 보여주시고 제가 확인 버튼 누르면 돼요	 F	카페	카페	0	8	결제요청		A					저한테 보여주시고 제가 확인 버튼 누르면 돼요	확인		
고객	여기 있습니다	 F	카페	카페	1	9	기프티콘쿠폰멤버십결제요구		Q		여기 있습니다						
점원	네 확인되셨고 차례되면 진동벨 울리실 거예요	 F	카페	카페	0	10	일반주문		A					네 확인되셨고 차례되면 진동벨 울리실 거예요	"확인, 차례, 진동벨"		
고객	핫초코 파나요?	 F	카페	카페	1	1	주문가능여부문의		Q		핫초코 파나요?				핫초코		핫초코/메뉴
점원	네 4500원입니다	 F	카페	카페	0	2	가격문의		A					네 4500원입니다	4500원		4500원/금액
고객	핫초코 한잔 아메리카노 한잔하면 얼마인가요?	 F	카페	카페	1	3	가격문의		Q		핫초코 한잔 아메리카노 한잔하면 얼마인가요?				"핫초코, 한잔, 아메리카노, 얼마"		"핫초코/메뉴, 한잔/수량, 아메리카노/메뉴"
점원	9500원입니다	 F	카페	카페	0	4	가격문의		A					9500원입니다	9500원		9500원/금액
고객	사이즈업 되나요?	 F	카페	카페	1	5	사이즈요구		Q		사이즈업 되나요?				사이즈업		
점원	아메리카노만 사이즈업 가능하십니다	 F	카페	카페	0	6	사이즈요구		A					아메리카노만 사이즈업 가능하십니다	"아메리카노, 사이즈업, 가능"		아메리카노/메뉴
