SPEAKER,SENTENCE,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스,
점원,예,A,음식점,셀프서비스,0,21,맛에대한문의,,A,,,,,예,,,,
고객,영수증 주시고요,A,음식점,셀프서비스,1,22,영수증요구,,Q,,영수증 주시고요,,,,영수증,,,
고객,에이젯 버거는 패티 이게 뭐에요? 소고기에요?,A,음식점,셀프서비스,1,23,식재료문의,,Q,,에이젯 버거는 패티 이게 뭐에요? 소고기에요?,,,,"에이젯 버거, 패티, 소고기",,"에이젯 버거/메뉴, 패티/재료, 소고기/재료",
점원,예,A,음식점,셀프서비스,0,24,식재료문의,,A,,,,,예,,,,
고객,한우에요?,A,음식점,셀프서비스,1,25,원산지문의,,Q,,한우에요?,,,,한우,,한우/재료,
점원,아니요 에이젯 버거에는 호주산이 들어가는 거예요 한우는 버거가 따로 있어요,A,음식점,셀프서비스,0,26,원산지문의,,A,,,,,아니요 에이젯 버거에는 호주산이 들어가는 거예요 한우는 버거가 따로 있어요,"에이젯 버거, 호주산, 한우, 버거",,"에이젯 버거/메뉴, 호주산/원산지, 한우/재료, 버거/메뉴",
고객,에이젯버거에 치즈도 들어가요?,A,음식점,셀프서비스,1,27,특정재료가포함되는지문의,,Q,,에이젯버거에 치즈도 들어가요?,,,,"에이젯버거, 치즈",,"에이젯버거/메뉴, 치즈/재료",
점원,네,A,음식점,셀프서비스,0,28,특정재료가포함되는지문의,,A,,,,,네,,,,
고객,티렉스에는 치즈 없죠?,A,음식점,셀프서비스,1,29,특정재료가포함되는지문의,,Q,,티렉스에는 치즈 없죠?,,,,"티렉스, 치즈",,"티렉스/메뉴, 치즈/재료",
점원,네,A,음식점,셀프서비스,0,30,특정재료가포함되는지문의,,A,,,,,네,,,,
고객,화장실은 어디에 있어요?,A,음식점,셀프서비스,1,31,화장실위치문의,,Q,,화장실은 어디에 있어요?,,,,"화장실, 어디",,화장실/장소,
점원,좌측에 있어요,A,음식점,셀프서비스,0,32,화장실위치문의,,A,,,,,좌측에 있어요,좌측,,좌측/위치,
고객,오리지널 불고기버거 세트에는 원래 치즈스틱이 없는데 백원만 추가하면 치즈스틱을 준다는 거예요?,A,음식점,셀프서비스,1,33,세트메뉴구성문의,,Q,,오리지널 불고기버거 세트에는 원래 치즈스틱이 없는데 백원만 추가하면 치즈스틱을 준다는 거예요?,,,,"오리지널 불고기버거 세트, 치즈스틱, 백원, 추가",,"오리지널 불고기버거 세트/세트메뉴, 치즈스틱/사이드, 백원/금액",
점원,네,A,음식점,셀프서비스,0,34,세트메뉴구성문의,,A,,,,,네,,,,
고객,세트에는 원래 뭐 뭐 들어가는데요?,A,음식점,셀프서비스,1,35,세트메뉴구성문의,,Q,,세트에는 원래 뭐 뭐 들어가는데요?,,,,세트,,,
점원,세트는 원래 버거 감자 콜라에요,A,음식점,셀프서비스,0,36,세트메뉴구성문의,,A,,,,,세트는 원래 버거 감자 콜라에요,"세트, 버거, 감자, 콜라",,"세트/메뉴, 버거/메뉴, 감자/사이드, 콜라/음료",
고객,저기 라이스 치킨 너깃은 밥하고 치킨 너깃하고 같이 들어있는 거예요?,A,음식점,셀프서비스,1,1,메뉴문의,,Q,,저기 라이스 치킨 너깃은 밥하고 치킨 너깃하고 같이 들어있는 거예요?,,,,"라이스 치킨 너깃, 밥, 치킨, 너깃, 같이",,"라이스 치킨 너깃/메뉴, 밥/재료, 치킨/재료 너깃/재료",
점원,네,A,음식점,셀프서비스,0,2,메뉴문의,,A,,,,,네,,,,
고객,김떡만도 있네요 저거는 뭐예요?,A,음식점,셀프서비스,1,3,메뉴문의,,Q,,김떡만도 있네요 저거는 뭐예요?,,,,김떡만,,김떡만/메뉴,
점원,저거는 김말이하고 떡튀김하고 만두튀김 들어가요 소스는 세 가지 있어요 매콤 사천 갈릭이요,A,음식점,셀프서비스,0,4,메뉴문의,,A,,,,,저거는 김말이하고 떡튀김하고 만두튀김 들어가요 소스는 세 가지 있어요 매콤 사천 갈릭이요,"김말이, 떡튀김, 만두튀김, 소스, 세 가지, 매콤, 사천, 갈릭",,"김말이/메뉴, 떡튀김/메뉴, 만두튀김/메뉴, 세 가지/소스 가짓수, 매콤/소스, 사천/소스, 갈릭/소스",
고객,내가 산게 뭐라고 했죠?,A,음식점,셀프서비스,1,5,메뉴주문확인,,Q,,내가 산게 뭐라고 했죠?,,,,,,,
점원,인크레더블이요,A,음식점,셀프서비스,0,6,메뉴주문확인,,A,,,,,인크레더블이요,인크레더블,,인크레더블/메뉴,
고객,패티나 토핑 추가 같은 건 안돼요?,A,음식점,셀프서비스,1,7,특정재료추가요구,,Q,,패티나 토핑 추가 같은 건 안돼요?,,,,"패티, 토핑, 추가",,"패티/재료, 토핑/재료",
점원,추가는 따로 안돼요,A,음식점,셀프서비스,0,8,특정재료추가요구,,A,,,,,추가는 따로 안돼요,추가,,,
고객,그러면 빼는 건 가능해요?,A,음식점,셀프서비스,1,9,특정재료제외요구,,Q,,그러면 빼는 건 가능해요?,,,,가능,,,
점원,"보통 싫어하시는 양파, 피클 이런 거는 빼달라고 주문할 때 미리 말씀해주시면 가능해요",A,음식점,셀프서비스,0,10,특정재료제외요구,,A,,,,,"보통 싫어하시는 양파, 피클 이런 거는 빼달라고 주문할 때 미리 말씀해주시면 가능해요","양파, 피클, 주문, 미리, 말씀",,"양파/재료, 피클/재료",
고객,시간이 좀 오래 걸리네요?,A,음식점,셀프서비스,1,11,음식이늦게나올때,,Q,,시간이 좀 오래 걸리네요?,,,,시간,,,
점원,저희가 수제버거라서요 패티가 두껍다 보니까 만드는데 십이 분에서 십삼분 정도 걸려요,A,음식점,셀프서비스,0,12,음식이늦게나올때,,A,,,,,저희가 수제버거라서요 패티가 두껍다 보니까 만드는데 십이 분에서 십삼분 정도 걸려요,"수제버거, 패티, 십이 분, 십삼분",,"수제버거/메뉴, 패티/재료, 십이 분/시간, 십삼분/시간",
고객,커팅칼 주실 수 있나요?,A,음식점,셀프서비스,1,13,식기요구,,Q,,커팅칼 주실 수 있나요?,,,,커팅칼,,커팅칼/식기,
점원,네 안에 같이 넣어 드릴게요,A,음식점,셀프서비스,0,14,식기요구,,A,,,,,네 안에 같이 넣어 드릴게요,안,,,
고객,여기서 주문해도 되나요?,A,음식점,셀프서비스,1,1,메뉴주문문의,,Q,,여기서 주문해도 되나요?,,,,주문,,,
점원,네 말씀하세요,A,음식점,셀프서비스,0,2,메뉴주문문의,,A,,,,,네 말씀하세요,말씀,,,
고객,와규 버거가 안에 고기가 어디 건데요?,A,음식점,셀프서비스,1,3,원산지문의,,Q,,와규 버거가 안에 고기가 어디 건데요?,,,,"와규 버거, 안, 고기",,"와규 버거/메뉴, 안/위치, 고기/재료",
점원,한우 들어가는 거는 오리지널 한우버거밖에 없고 전부다 호주산이에요,A,음식점,셀프서비스,0,4,원산지문의,,A,,,,,한우 들어가는 거는 오리지널 한우버거밖에 없고 전부다 호주산이에요,"한우, 오리지널 한우버거, 호주산",,"한우/재료, 오리지널 한우버거/메뉴, 호주산/원산지",
고객,그러면 새우버거 주세요,A,음식점,셀프서비스,1,5,메뉴주문,,Q,,그러면 새우버거 주세요,,,,새우버거,,새우버거/메뉴,
점원,몇 개 드릴까요?,A,음식점,셀프서비스,0,6,메뉴주문,수량,Q,,,몇 개 드릴까요?,,,몇 개,,,
고객,한 개요,A,음식점,셀프서비스,1,7,메뉴주문,수량,A,,,,한 개요,,한 개,,한 개/수량,
점원,포장하실 거예요?,A,음식점,셀프서비스,0,8,메뉴주문,포장문의,Q,,,포장하실 거예요?,,,포장,,,
고객,네,A,음식점,셀프서비스,1,9,메뉴주문,포장문의,A,,,,네,,,,,
점원,삼천팔백 원이요,A,음식점,셀프서비스,0,10,메뉴주문,,A,5,,,,삼천팔백 원이요,삼천팔백 원,,삼천팔백 원/금액,
점원,카드 리더기에 넣어주세요,A,음식점,셀프서비스,0,11,결제문의,결제요청,Q,,,카드 리더기에 넣어주세요,,,카드 리더기,,카드 리더기/시설,
고객,네,A,음식점,셀프서비스,1,12,결제문의,결제요청,A,,,,네,,,,,
고객,버거 사진에 밑에 야채는 뭐예요?,A,음식점,셀프서비스,1,13,식재료문의,,Q,,버거 사진에 밑에 야채는 뭐예요?,,,,"버거, 사진, 밑, 야채",,"버거/메뉴, 밑/위치, 야채/재료",
점원,야채가 아니고 소스에요 타르타르 드레싱이요,A,음식점,셀프서비스,0,14,식재료문의,,A,,,,,야채가 아니고 소스에요 타르타르 드레싱이요,"야채, 소스, 타르타르 드레싱",,"야채/재료, 타르타르 드레싱/소스",
고객,여기 단체 주문도 가능해요?,A,음식점,셀프서비스,1,15,단체주문문의,,Q,,여기 단체 주문도 가능해요?,,,,"여기, 단체, 주문, 가능",,,
점원,네 가능해요,A,음식점,셀프서비스,0,16,단체주문문의,,A,,,,,네 가능해요,가능,,,
고객,몇 시부터 영업하시죠?,A,음식점,셀프서비스,1,17,오픈시간문의,,Q,,몇 시부터 영업하시죠?,,,,"몇 시, 영업",,,
점원,이십사시에요,A,음식점,셀프서비스,0,18,오픈시간문의,,A,,,,,이십사시에요,이십사시,,이십사시/영업시간,
고객,그러면 단체로 하면 좀 할인되는 건 있어요?,A,음식점,셀프서비스,1,19,주문양에대한할인문의,,Q,,그러면 단체로 하면 좀 할인되는 건 있어요?,,,,"단체, 할인",,,
점원,캔 콜라가 무료로 나가요,A,음식점,셀프서비스,0,20,주문양에대한할인문의,,A,,,,,캔 콜라가 무료로 나가요,"캔 콜라, 무료",,"캔 콜라/음료, 무료/금액",
고객,그러면 몇 시까지 어디로 갖다 달라 하면 어디로 갖다 주는 거예요?,A,음식점,셀프서비스,1,21,배달문의,,Q,,그러면 몇 시까지 어디로 갖다 달라 하면 어디로 갖다 주는 거예요?,,,,"몇 시, 어디",,,
점원,네,A,음식점,셀프서비스,0,22,배달문의,,A,,,,,네,,,,
고객,그럼 전화번호 하나 주실 수 있나요?,A,음식점,셀프서비스,1,23,매장연락처요청,,Q,,그럼 전화번호 하나 주실 수 있나요?,,,,"전화번호, 하나",,,
점원,씨링 드릴게요,A,음식점,셀프서비스,0,24,매장연락처요청,,A,,,,,씨링 드릴게요,씨링,,씨링,
고객,세트나 단품이나 상관없죠?,A,음식점,셀프서비스,1,25,배달문의,,Q,,세트나 단품이나 상관없죠?,,,,"세트, 단품",,,
점원,네,A,음식점,셀프서비스,0,26,배달문의,,A,,,,,네,,,,
점원,주문 도와드릴까요?,A,음식점,셀프서비스,0,1,메뉴주문문의,주문문의,Q,,,주문 도와드릴까요?,,,주문,,,
고객,네 버거 종류 어떤 게 잘 나가요?,A,음식점,셀프서비스,1,2,베스트메뉴문의추천요청,,Q,,네 버거 종류 어떤 게 잘 나가요?,,,,"버거, 종류",,버거/메뉴,
점원,골든에그 치즈 버거요 이게 지금 리뉴얼 돼서 잘 나가요,A,음식점,셀프서비스,0,3,베스트메뉴문의추천요청,,A,,,,,골든에그 치즈 버거요 이게 지금 리뉴얼 돼서 잘 나가요,"골든에그 치즈 버거, 지금, 리뉴얼",,골든에그 치즈 버거/메뉴,
고객,고기는 어느 부위 써요 돼지고기 써요?,A,음식점,셀프서비스,1,4,식재료문의,,Q,,고기는 어느 부위 써요 돼지고기 써요?,,,,"고기, 부위, 돼지고기",,"고기/재료, 돼지고기/재료",
점원,이게 버거마다 달라요,A,음식점,셀프서비스,0,5,식재료문의,,A,,,,,이게 버거마다 달라요,버거,,버거/메뉴,
고객,빅맥 세트는요?,A,음식점,셀프서비스,1,6,식재료문의,,Q,,빅맥 세트는요?,,,,빅맥 세트,,빅맥 세트/세트메뉴,
점원,빅맥은 소고기에요,A,음식점,셀프서비스,0,7,식재료문의,,A,,,,,빅맥은 소고기에요,"빅맥, 소고기",,"빅맥/메뉴, 소고기/재료",
고객,그러면 맥 스파이시 상하이 버거는요?,A,음식점,셀프서비스,1,8,식재료문의,,Q,,그러면 맥 스파이시 상하이 버거는요?,,,,맥 스파이시 상하이 버거,,맥 스파이시 상하이 버거/메뉴,
점원,상하이 버거는 치킨버거에요,A,음식점,셀프서비스,0,9,식재료문의,,A,,,,,상하이 버거는 치킨버거에요,"상하이 버거, 치킨버거",,"상하이 버거/메뉴, 치킨버거/메뉴",
고객,그럼 슈슈 버거는요?,A,음식점,셀프서비스,1,10,식재료문의,,Q,,그럼 슈슈 버거는요?,,,,슈슈 버거,,슈슈 버거/메뉴,
점원,슈슈는 새우요,A,음식점,셀프서비스,0,11,식재료문의,,A,,,,,슈슈는 새우요,"슈슈, 새우",,"슈슈/메뉴, 새우/재료",
고객,사이드 메뉴는 그럼 감자튀김밖에 없는 거예요?,A,음식점,셀프서비스,1,12,세트메뉴구성문의,,Q,,사이드 메뉴는 그럼 감자튀김밖에 없는 거예요?,,,,"사이드 메뉴, 감자튀김",,"사이드 메뉴/메뉴, 감자튀김/사이드",
점원,네 400원 추가하시면 치즈스틱으로 변경 가능하세요,A,음식점,셀프서비스,0,13,세트메뉴구성문의,,A,,,,,네 400원 추가하시면 치즈스틱으로 변경 가능하세요,"400원, 추가, 치즈스틱, 변경, 가능",,"400원/금액, 치즈스틱/사이드",
고객,치즈스틱으로 그러면 이거 맥 올데이 세트 중에 주로 많이 잘 나가는 건요?,A,음식점,셀프서비스,1,14,베스트메뉴문의추천요청,,Q,,치즈스틱으로 그러면 이거 맥 올데이 세트 중에 주로 많이 잘 나가는 건요?,,,,"치즈스틱, 맥 올데이 세트",,"치즈스틱/사이드, 맥 올데이 세트/세트메뉴",
점원,상하이 버거 많이 나가요 빅맥도 많이 나가요,A,음식점,셀프서비스,0,15,베스트메뉴문의추천요청,,A,,,,,상하이 버거 많이 나가요 빅맥도 많이 나가요,"상하이 버거, 빅맥",,"상하이 버거/메뉴, 빅맥/메뉴",
고객,개인적으로 소고기 좋아하는데 1955 버거도 소고기 들어가요?,A,음식점,셀프서비스,1,16,식재료문의,,Q,,개인적으로 소고기 좋아하는데 1955 버거도 소고기 들어가요?,,,,"소고기, 1955 버거",,"소고기/재료, 1955 버거/메뉴, 소고기/재료",
점원,1955버거요 네 1955버거도 소고기 들어가요,A,음식점,셀프서비스,0,17,식재료문의,,A,,,,,1955버거요 네 1955버거도 소고기 들어가요,"1955버거, 소고기",,"1955버거/메뉴, 1955버거/메뉴, 소고기/재료",
고객,소고기에요 슈비버거도?,A,음식점,셀프서비스,1,18,식재료문의,,Q,,소고기에요 슈비버거도?,,,,"소고기, 슈비버거",,"소고기/재료, 슈비버거/메뉴",
점원,네 슈비가 새우랑 소고기요,A,음식점,셀프서비스,0,19,식재료문의,,A,,,,,네 슈비가 새우랑 소고기요,"슈비, 새우, 소고기",,"슈비/메뉴, 새우/재료, 소고기/재료",
고객,그러면 그냥 저기 하루 종일 빅맥 주세요,A,음식점,셀프서비스,1,20,메뉴주문,,Q,,그러면 그냥 저기 하루 종일 빅맥 주세요,,,,하루 종일 빅맥,,하루 종일 빅맥/메뉴,
점원,세트 하나 맞으세요?,A,음식점,셀프서비스,0,21,메뉴주문,수량,Q,,,세트 하나 맞으세요?,,,"세트, 하나",,"세트/메뉴, 하나/수량",
고객,네네,A,음식점,셀프서비스,1,22,메뉴주문,수량,A,,,,네네,,,,,
점원,드시고 가시는 거세요?,A,음식점,셀프서비스,0,23,메뉴주문,포장문의,Q,,,드시고 가시는 거세요?,,,,,,
고객,포장해주세요,A,음식점,셀프서비스,1,24,메뉴주문,포장문의,A,,,,포장해주세요,,포장,,,
점원,사이드 메뉴는 감자 콜라 괜찮으세요?,A,음식점,셀프서비스,0,25,메뉴주문,사이드메뉴선택,Q,,,사이드 메뉴는 감자 콜라 괜찮으세요?,,,"사이드 메뉴, 감자, 콜라",,"사이드 메뉴/메뉴, 감자/사이드, 콜라/음료",
고객,네,A,음식점,셀프서비스,1,26,메뉴주문,사이드메뉴선택,A,,,,네,,,,,
점원,4900원 결제 도와드릴게요,A,음식점,셀프서비스,0,27,메뉴주문,,A,20,,,,4900원 결제 도와드릴게요,"4900원, 결제",,4900원/금액,
고객,뭐 포인트 적립되는 카드 없죠?,A,음식점,셀프서비스,1,28,적립방법문의,,Q,,뭐 포인트 적립되는 카드 없죠?,,,,"포인트, 적립, 카드",,,
점원,네 그런 건 따로 없으세요,A,음식점,셀프서비스,0,29,적립방법문의,,A,,,,,네 그런 건 따로 없으세요,,,,
고객,죄송한데 이거 썰어서 주실 수 있어요?,A,음식점,셀프서비스,1,30,커팅요구,,Q,,죄송한데 이거 썰어서 주실 수 있어요?,,,,,,,
점원,썰어서는 저희가 안되시고 칼 넣어 드릴게요,A,음식점,셀프서비스,0,31,커팅요구,,A,,,,,썰어서는 저희가 안되시고 칼 넣어 드릴게요,칼,,칼/식기,
고객,여기는 토요일 일요일도 영업해요?,A,음식점,셀프서비스,1,32,휴일문의,,Q,,여기는 토요일 일요일도 영업해요?,,,,"여기, 토요일, 일요일, 영업",,"토요일/요일, 일요일/요일",
점원,네 24시간 365일 휴무일 없어요,A,음식점,셀프서비스,0,33,휴일문의,,A,,,,,네 24시간 365일 휴무일 없어요,"24시간, 365일, 휴무일",,"24시간/영업시간, 365일/영업일",
고객,여기 화장실은 어디 있어요?,A,음식점,셀프서비스,1,34,화장실위치문의,,Q,,여기 화장실은 어디 있어요?,,,,"여기, 화장실, 어디",,화장실/장소,
점원,2층에 있어요,A,음식점,셀프서비스,0,35,화장실위치문의,,A,,,,,2층에 있어요,2층,,2층/장소,
고객,큰 가방 없죠?,A,음식점,셀프서비스,1,36,종이백요구,,Q,,큰 가방 없죠?,,,,가방,,,
점원,종이가방에 넣어 드릴게요,A,음식점,셀프서비스,0,37,종이백요구,,A,,,,,종이가방에 넣어 드릴게요,종이가방,,,
고객,케첩도 하나 더 넣어 주세요,A,음식점,셀프서비스,1,38,케첩소스요구,,Q,,케첩도 하나 더 넣어 주세요,,,,"케첩, 하나",,"케첩/소스, 하나/수량",
점원,네,A,음식점,셀프서비스,0,39,케첩소스요구,,A,,,,,네,,,,
고객,이 안에 냅킨도 다 들어가 있는 거예요?,A,음식점,셀프서비스,1,40,냅킨요구,,Q,,이 안에 냅킨도 다 들어가 있는 거예요?,,,,냅킨,,,
점원,네 케첩도 하나 들어가있어요,A,음식점,셀프서비스,0,41,냅킨요구,,A,,,,,네 케첩도 하나 들어가있어요,"케첩, 하나",,,
고객,오늘 처음 와서 그런데 햄버거 세트메뉴가 어떤 거 있어요?,A,음식점,셀프서비스,1,1,세트메뉴종류문의,,Q,,오늘 처음 와서 그런데 햄버거 세트메뉴가 어떤 거 있어요?,,,,"오늘, 처음, 햄버거, 세트메뉴",,햄버거/메뉴,
점원,다 세트 있는 것들이에요,A,음식점,셀프서비스,0,2,세트메뉴종류문의,,A,,,,,다 세트 있는 것들이에요,세트,,,
고객,지금 잘 나가는 버거가 있나요?,A,음식점,셀프서비스,1,3,베스트메뉴문의추천요청,,Q,,지금 잘 나가는 버거가 있나요?,,,,"지금, 버거",,,
점원,싸이버거가 제일 잘나가요,A,음식점,셀프서비스,0,4,베스트메뉴문의추천요청,,A,,,,,싸이버거가 제일 잘나가요,싸이버거,,싸이버거/메뉴,
고객,싸이버거는 뭐로 만들어졌어요?,A,음식점,셀프서비스,1,5,식재료문의,,Q,,싸이버거는 뭐로 만들어졌어요?,,,,싸이버거,,싸이버거/메뉴,
점원,닭 다리 살 패티랑 양상추랑 양파 소스요,A,음식점,셀프서비스,0,6,식재료문의,,A,,,,,닭 다리 살 패티랑 양상추랑 양파 소스요,"닭 다리 살, 패티, 양상추, 양파, 소스",,"닭 다리 살 패티/재료, 양상추/재료, 양파/재료, 소스/재료",
고객,인크레더블 이것도 고기가 닭고기 들어가요?,A,음식점,셀프서비스,1,7,식재료문의,,Q,,인크레더블 이것도 고기가 닭고기 들어가요?,,,,"인크레더블, 고기, 닭고기",,"인크레더블/메뉴, 고기/재료, 닭고기/재료",
점원,"닭 다리 살, 닭 가슴살 이렇게 두 개 들어 있어요",A,음식점,셀프서비스,0,8,식재료문의,,A,,,,,"닭 다리 살, 닭 가슴살 이렇게 두 개 들어 있어요","닭 다리 살, 닭 가슴살, 두 개",,"닭 다리 살/재료, 닭 가슴살/재료, 두 개/수량",
고객,그러면 여기는 고기 패티가 전부다 닭인가요?,A,음식점,셀프서비스,1,9,식재료문의,,Q,,그러면 여기는 고기 패티가 전부다 닭인가요?,,,,"여기, 고기, 패티, 닭",,"고기 패티/재료, 닭/재료",
점원,불고기버거도 있고 새우버거도 있어요,A,음식점,셀프서비스,0,10,식재료문의,,A,,,,,불고기버거도 있고 새우버거도 있어요,"불고기버거, 새우버거",,"불고기버거/메뉴, 새우버거/메뉴",
고객,딥 치즈 버거하고 치즈베이컨 버거하고 어떤 게 달라요?,A,음식점,셀프서비스,1,11,두메뉴의차이에대한질문,,Q,,딥 치즈 버거하고 치즈베이컨 버거하고 어떤 게 달라요?,,,,"딥 치즈 버거, 치즈베이컨 버거",,"딥 치즈 버거/메뉴, 치즈베이컨 버거/메뉴",
점원,딥 치즈 버거는 일반 치킨 패티에 치즈 소스가 들어가는 거고 치즈 베이컨은 베이컨 추가된 거요,A,음식점,셀프서비스,0,12,두메뉴의차이에대한질문,,A,,,,,딥 치즈 버거는 일반 치킨 패티에 치즈 소스가 들어가는 거고 치즈 베이컨은 베이컨 추가된 거요,"딥 치즈 버거, 일반 치킨 패티, 치즈 소스, 치즈 베이컨, 베이컨, 추가",,"딥 치즈 버거/메뉴, 일반 치킨 패티/재료, 치즈 소스/소스, 치즈 베이컨/메뉴, 베이컨/재료",
고객,제가 닭고기보다는 불고기를 좋아해가지고 불고기버거 세트 중에는 어떤 게 나을까요?,A,음식점,셀프서비스,1,13,취향에따른메뉴추천요구,,Q,,제가 닭고기보다는 불고기를 좋아해가지고 불고기버거 세트 중에는 어떤 게 나을까요?,,,,"닭고기, 불고기, 불고기버거, 세트",,"닭고기/재료, 불고기/재료, 불고기버거 세트/세트메뉴",
점원,사진이 있는데 매운 거 좋아시면 이거요,A,음식점,셀프서비스,0,14,취향에따른메뉴추천요구,,A,,,,,사진이 있는데 매운 거 좋아시면 이거요,"사진, 매운 거",,,
고객,그러면 불고기버거 세트로 하나 주세요,A,음식점,셀프서비스,1,15,메뉴주문,,Q,,그러면 불고기버거 세트로 하나 주세요,,,,"불고기버거 세트, 하나",,"불고기버거 세트/세트메뉴, 하나/수량",
점원,드시고 가세요?,A,음식점,셀프서비스,0,16,메뉴주문,포장문의,Q,,,드시고 가세요?,,,,,,
고객,아뇨 포장이요,A,음식점,셀프서비스,1,17,메뉴주문,포장문의,A,,,,아뇨 포장이요,,포장,,,
고객,이거 썰어주죠?,A,음식점,셀프서비스,1,18,커팅요구,,Q,,이거 썰어주죠?,,,,,,,
점원,아뇨 안 썰어서 나가요 칼 드릴게요,A,음식점,셀프서비스,0,19,커팅요구,,A,,,,,아뇨 안 썰어서 나가요 칼 드릴게요,칼,,칼/비품,
고객,아 칼 넣어 주시고 그러면 사이드 메뉴로 지금 나오는 게 감자밖에 없죠?,A,음식점,셀프서비스,1,20,세트메뉴구성문의,,Q,,아 칼 넣어 주시고 그러면 사이드 메뉴로 지금 나오는 게 감자밖에 없죠?,,,,"칼, 사이드 메뉴, 지금, 감자",,"칼/비품, 사이드 메뉴/메뉴, 감자/사이드",
점원,감자랑 콜라랑 나가요,A,음식점,셀프서비스,0,21,세트메뉴구성문의,,A,,,,,감자랑 콜라랑 나가요,"감자, 콜라",,"감자/사이드, 콜라/음료",
고객,이거 혹시 오늘 못 먹으면 냉장보관하면 며칠 정도 두면 돼요?,A,음식점,셀프서비스,1,22,유통기한문의,,Q,,이거 혹시 오늘 못 먹으면 냉장보관하면 며칠 정도 두면 돼요?,,,,"오늘, 냉장보관, 며칠, 정도",,,
점원,그건 말씀드릴 수가 없네요,A,음식점,셀프서비스,0,23,유통기한문의,,A,,,,,그건 말씀드릴 수가 없네요,,,,
고객,네 영수증 조금 주시겠어요 여기 오픈한지 얼마 됐어요?,A,음식점,셀프서비스,1,24,영업기간문의,,Q,,네 영수증 조금 주시겠어요 여기 오픈한지 얼마 됐어요?,,,,"영수증, 조금, 여기, 오픈",,,
점원,그건 제가 정확히 모르겠어요,A,음식점,셀프서비스,0,25,영업기간문의,,A,,,,,그건 제가 정확히 모르겠어요,,,,
고객,죄송하지만 콜라 얼음 넣지 말고 그냥 콜라 주세요,A,음식점,셀프서비스,1,26,얼음량요구,,Q,,죄송하지만 콜라 얼음 넣지 말고 그냥 콜라 주세요,,,,"콜라, 얼음, 콜라",,"콜라/음료, 콜라/음료",
점원,원래 포장 얼음 안 넣어 드려요,A,음식점,셀프서비스,0,27,얼음량요구,,A,,,,,원래 포장 얼음 안 넣어 드려요,"포장, 얼음",,,
고객,혹시나 여기 화장실은 어디 있어요?,A,음식점,셀프서비스,1,28,화장실위치문의,,Q,,혹시나 여기 화장실은 어디 있어요?,,,,"여기, 화장실, 어디",,화장실/장소,
점원,나가서 오른쪽 보시면 있어요,A,음식점,셀프서비스,0,29,화장실위치문의,,A,,,,,나가서 오른쪽 보시면 있어요,오른쪽,,오른쪽/위치,
고객,이거 나오는덴 시간이 얼마쯤 걸려요?,A,음식점,셀프서비스,1,30,주문메뉴대기시간문의,,Q,,이거 나오는덴 시간이 얼마쯤 걸려요?,,,,시간,,,
점원,주문이 많이 밀려서 15분 넘게 나올 거 같아요,A,음식점,셀프서비스,0,31,주문메뉴대기시간문의,,A,,,,,주문이 많이 밀려서 15분 넘게 나올 거 같아요,"주문, 15분",,15분/시간,
고객,아 예 여기 영업은 몇 시부터 몇 시까지 해요?,A,음식점,셀프서비스,1,32,영업시간문의,,Q,,아 예 여기 영업은 몇 시부터 몇 시까지 해요?,,,,"여기, 영업, 몇 시",,,
점원,저희 홀마감 아홉시까지 하고 오픈은 열시까지요,A,음식점,셀프서비스,0,33,영업시간문의,,A,,,,,저희 홀마감 아홉시까지 하고 오픈은 열시까지요,"홀, 마감, 아홉시, 오픈, 열시",,"아홉시/마감시간, 열시/오픈시간",
고객,케첩 하나만 좀 더 넣어 주시겠어요 여기 그 종이 봉지는 안 쓰나요?,A,음식점,셀프서비스,1,34,종이백요구,,Q,,케첩 하나만 좀 더 넣어 주시겠어요 여기 그 종이 봉지는 안 쓰나요?,,,,"케첩, 하나, 여기, 종이, 봉지",,"케첩/소스, 하나/수량",
점원,네 안 써요,A,음식점,셀프서비스,0,35,종이백요구,,A,,,,,네 안 써요,,,,
점원,어떤 거 드릴까요?,A,음식점,셀프서비스,0,1,메뉴주문문의,주문문의,Q,,,어떤 거 드릴까요?,,,,,,
고객,햄버거 종류 어떤 게 잘 나가요? 제가 잘 안 먹어 봐가지고,A,음식점,셀프서비스,1,2,베스트메뉴문의추천요청,,Q,,햄버거 종류 어떤 게 잘 나가요? 제가 잘 안 먹어 봐가지고,,,,"햄버거, 종류",,햄버거/메뉴,
점원,누가 드세요? 보통은 불고기버거하고 새우버거하고 핫프레스 버거 이렇게 세 개가 제일 잘나가요,A,음식점,셀프서비스,0,3,베스트메뉴문의추천요청,,A,,,,,누가 드세요? 보통은 불고기버거하고 새우버거하고 핫프레스 버거 이렇게 세 개가 제일 잘나가요,"누가, 보통, 불고기버거, 새우버거, 핫프레스 버거, 세 개",,"불고기버거/메뉴, 새우버거/메뉴, 핫프레스 버거/메뉴, 세 개/가짓수",
고객,어른들이 좋아하는 스타일이 뭔가요?,A,음식점,셀프서비스,1,4,취향에따른메뉴추천요구,,Q,,어른들이 좋아하는 스타일이 뭔가요?,,,,"어른, 스타일",,어른/대상,
